,muni_name,cod_ibge_muni,uf_muni,Number of paths covered,City coverage(%),MoH sentinel
1013,Santa Cruz do Capibaribe,2612505,Pernambuco,2702,0.03077,0
1014,Santa Maria da Boa Vista,2612604,Pernambuco,60,0.00068,0
1015,São Benedito do Sul,2612901,Pernambuco,3,3e-05,0
1016,São Bento do Una,2613008,Pernambuco,7,8e-05,0
1017,São João,2613206,Pernambuco,3,3e-05,0
1018,São José da Coroa Grande,2613404,Pernambuco,25,0.00028,0
1019,São José do Belmonte,2613503,Pernambuco,23,0.00026,0
1020,São José do Egito,2613602,Pernambuco,825,0.0094,0
1021,São Lourenço da Mata,2613701,Pernambuco,23,0.00026,0
1022,São Vicente Férrer,2613800,Pernambuco,31,0.00035,0
1023,Serra Talhada,2613909,Pernambuco,8598,0.09793,1
1024,Sertânia,2614105,Pernambuco,1130,0.01287,0
1025,Sirinhaém,2614204,Pernambuco,40,0.00046,0
1026,Surubim,2614501,Pernambuco,2427,0.02764,0
1027,Tabira,2614600,Pernambuco,249,0.00284,0
1028,Timbaúba,2615300,Pernambuco,1979,0.02254,0
1029,Toritama,2615409,Pernambuco,156,0.00178,0
1030,Tracunhaém,2615508,Pernambuco,39,0.00044,0
1031,Trindade,2615607,Pernambuco,84,0.00096,0
1032,Triunfo,2615706,Pernambuco,1,1e-05,0
1033,Tupanatinga,2615805,Pernambuco,13,0.00015,0
1034,Tuparetama,2615904,Pernambuco,11,0.00013,0
1035,Venturosa,2616001,Pernambuco,13,0.00015,0
1036,Vertente do Lério,2616183,Pernambuco,14,0.00016,0
1037,Vertentes,2616209,Pernambuco,186,0.00212,0
1038,Vitória de Santo Antão,2616407,Pernambuco,906,0.01032,0
1039,Xexéu,2616506,Pernambuco,554,0.00631,0
1040,Anadia,2700201,Alagoas,607,0.00691,0
1041,Arapiraca,2700300,Alagoas,49427,0.56295,1
1042,Atalaia,2700409,Alagoas,2636,0.03002,0
1043,Barra de Santo Antônio,2700508,Alagoas,1224,0.01394,0
1044,Barra de São Miguel,2700607,Alagoas,189,0.00215,0
1045,Batalha,2700706,Alagoas,210,0.00239,0
1046,Belém,2700805,Alagoas,2,2e-05,0
1047,Belo Monte,2700904,Alagoas,1,1e-05,0
1048,Boca da Mata,2701001,Alagoas,13,0.00015,0
1049,Cacimbinhas,2701209,Alagoas,23,0.00026,0
1050,Cajueiro,2701308,Alagoas,162,0.00185,0
1051,Campo Alegre,2701407,Alagoas,4,5e-05,0
1052,Campo Grande,2701506,Alagoas,59,0.00067,0
1053,Capela,2701704,Alagoas,50,0.00057,0
1054,Carneiros,2701803,Alagoas,2,2e-05,0
1055,Colônia Leopoldina,2702108,Alagoas,39,0.00044,0
1056,Coruripe,2702306,Alagoas,582,0.00663,1
1057,Delmiro Gouveia,2702405,Alagoas,5010,0.05706,1
1058,Feliz Deserto,2702702,Alagoas,7,8e-05,0
1059,Girau do Ponciano,2702900,Alagoas,1,1e-05,0
1060,Igreja Nova,2703205,Alagoas,143,0.00163,0
1061,Inhapi,2703304,Alagoas,50,0.00057,0
1062,Jaramataia,2703700,Alagoas,39,0.00044,0
1063,Junqueiro,2704005,Alagoas,20,0.00023,0
1064,Limoeiro de Anadia,2704203,Alagoas,1,1e-05,0
1065,Maceió,2704302,Alagoas,58753,0.66917,1
1066,Maragogi,2704500,Alagoas,31,0.00035,1
1067,Maravilha,2704609,Alagoas,1331,0.01516,0
1068,Maribondo,2704807,Alagoas,150,0.00171,0
1069,Mata Grande,2705002,Alagoas,12,0.00014,0
1070,Matriz de Camaragibe,2705101,Alagoas,26,0.0003,0
1071,Messias,2705200,Alagoas,37,0.00042,0
1072,Novo Lino,2705606,Alagoas,105,0.0012,0
1073,Olho d'Água das Flores,2705705,Alagoas,1370,0.0156,0
1074,Ouro Branco,2706109,Alagoas,51,0.00058,0
1075,Palmeira dos Índios,2706307,Alagoas,4381,0.0499,1
1076,Pão de Açúcar,2706406,Alagoas,112,0.00128,0
1077,Paripueira,2706448,Alagoas,14,0.00016,0
1078,Passo de Camaragibe,2706505,Alagoas,7,8e-05,0
1079,Paulo Jacinto,2706604,Alagoas,10,0.00011,0
1080,Penedo,2706703,Alagoas,908,0.01034,1
1081,Piaçabuçu,2706802,Alagoas,176,0.002,0
1082,Pilar,2706901,Alagoas,177,0.00202,0
1083,Piranhas,2707107,Alagoas,71,0.00081,0
1084,Porto Calvo,2707305,Alagoas,2919,0.03325,0
1085,Porto de Pedras,2707404,Alagoas,7,8e-05,0
1086,Porto Real do Colégio,2707503,Alagoas,1342,0.01528,0
1087,Rio Largo,2707701,Alagoas,468,0.00533,0
1088,Santana do Ipanema,2708006,Alagoas,4786,0.05451,1
1089,São Brás,2708204,Alagoas,2,2e-05,0
1090,São José da Laje,2708303,Alagoas,759,0.00864,0
1091,São Luís do Quitunde,2708501,Alagoas,124,0.00141,0
1092,São Miguel dos Campos,2708600,Alagoas,4286,0.04882,1
1093,São Miguel dos Milagres,2708709,Alagoas,1,1e-05,0
1094,São Sebastião,2708808,Alagoas,30,0.00034,0
1095,Satuba,2708907,Alagoas,46,0.00052,0
1096,Teotônio Vilela,2709152,Alagoas,6,7e-05,0
1097,Traipu,2709202,Alagoas,4,5e-05,0
1098,União dos Palmares,2709301,Alagoas,2457,0.02798,0
1099,Viçosa,2709400,Alagoas,107,0.00122,1
1100,Amparo de São Francisco,2800100,Sergipe,417,0.00475,0
1101,Aquidabã,2800209,Sergipe,37,0.00042,0
1102,Aracaju,2800308,Sergipe,103356,1.17717,1
1103,Arauá,2800407,Sergipe,97,0.0011,0
1104,Areia Branca,2800506,Sergipe,455,0.00518,0
1105,Boquim,2800670,Sergipe,104,0.00118,0
1106,Brejo Grande,2800704,Sergipe,120,0.00137,0
1107,Campo do Brito,2801009,Sergipe,11,0.00013,0
1108,Canhoba,2801108,Sergipe,37,0.00042,0
1109,Canindé de São Francisco,2801207,Sergipe,141,0.00161,0
1110,Capela,2801306,Sergipe,5,6e-05,0
1111,Carira,2801405,Sergipe,606,0.0069,0
1112,Carmópolis,2801504,Sergipe,162,0.00185,0
1113,Cedro de São João,2801603,Sergipe,7,8e-05,0
1114,Cristinápolis,2801702,Sergipe,807,0.00919,0
1115,Divina Pastora,2802007,Sergipe,5,6e-05,0
1116,Estância,2802106,Sergipe,1935,0.02204,0
1117,Feira Nova,2802205,Sergipe,5,6e-05,0
1118,Frei Paulo,2802304,Sergipe,43,0.00049,0
1119,Gracho Cardoso,2802601,Sergipe,3,3e-05,0
1120,Ilha das Flores,2802700,Sergipe,7,8e-05,0
1121,Indiaroba,2802809,Sergipe,8,9e-05,0
1122,Itabaiana,2802908,Sergipe,3996,0.04551,0
1123,Itabaianinha,2803005,Sergipe,2,2e-05,0
1124,Itaporanga d'Ajuda,2803203,Sergipe,45,0.00051,0
1125,Japaratuba,2803302,Sergipe,119,0.00136,0
1126,Japoatã,2803401,Sergipe,10,0.00011,0
1127,Lagarto,2803500,Sergipe,2450,0.0279,0
1128,Laranjeiras,2803609,Sergipe,75,0.00085,0
1129,Malhada dos Bois,2803807,Sergipe,4,5e-05,0
1130,Maruim,2804003,Sergipe,120,0.00137,0
1131,Moita Bonita,2804102,Sergipe,121,0.00138,0
1132,Monte Alegre de Sergipe,2804201,Sergipe,6,7e-05,0
1133,Muribeca,2804300,Sergipe,15,0.00017,0
1134,Nossa Senhora Aparecida,2804458,Sergipe,8,9e-05,0
1135,Nossa Senhora da Glória,2804508,Sergipe,65,0.00074,0
1136,Nossa Senhora das Dores,2804607,Sergipe,49,0.00056,0
1137,Nossa Senhora de Lourdes,2804706,Sergipe,3,3e-05,0
1138,Pacatuba,2804904,Sergipe,16,0.00018,0
1139,Pedrinhas,2805109,Sergipe,5,6e-05,0
1140,Poço Redondo,2805406,Sergipe,4,5e-05,0
1141,Poço Verde,2805505,Sergipe,106,0.00121,0
1142,Propriá,2805703,Sergipe,4803,0.0547,0
1143,Riachão do Dantas,2805802,Sergipe,5,6e-05,0
1144,Riachuelo,2805901,Sergipe,249,0.00284,0
1145,Ribeirópolis,2806008,Sergipe,16,0.00018,0
1146,Rosário do Catete,2806107,Sergipe,46,0.00052,0
1147,Salgado,2806206,Sergipe,193,0.0022,0
1148,Santana do São Francisco,2806404,Sergipe,7,8e-05,0
1149,São Francisco,2806909,Sergipe,2,2e-05,0
1150,Simão Dias,2807105,Sergipe,96,0.00109,0
1151,Siriri,2807204,Sergipe,3,3e-05,0
1152,Tobias Barreto,2807402,Sergipe,281,0.0032,0
1153,Umbaúba,2807600,Sergipe,173,0.00197,0
1154,Abaíra,2900108,Bahia,2229,0.02539,0
1155,Abaré,2900207,Bahia,266,0.00303,0
1156,Acajutiba,2900306,Bahia,182,0.00207,0
1157,Adustina,2900355,Bahia,20,0.00023,0
1158,Água Fria,2900405,Bahia,251,0.00286,0
1159,Érico Cardoso,2900504,Bahia,16,0.00018,0
1160,Aiquara,2900603,Bahia,15,0.00017,0
1161,Alagoinhas,2900702,Bahia,16018,0.18244,1
1162,Alcobaça,2900801,Bahia,1689,0.01924,0
1163,Almadina,2900900,Bahia,94,0.00107,0
1164,Amargosa,2901007,Bahia,439,0.005,0
1165,Amélia Rodrigues,2901106,Bahia,2425,0.02762,0
1166,América Dourada,2901155,Bahia,2380,0.02711,0
1167,Anagé,2901205,Bahia,7409,0.08438,0
1168,Andaraí,2901304,Bahia,688,0.00784,0
1169,Anguera,2901502,Bahia,874,0.00995,0
1170,Antas,2901601,Bahia,876,0.00998,0
1171,Antônio Gonçalves,2901809,Bahia,1745,0.01987,0
1172,Aporá,2901908,Bahia,33,0.00038,0
1173,Aracatu,2902005,Bahia,1041,0.01186,0
1174,Araçás,2902054,Bahia,92,0.00105,0
1175,Araci,2902104,Bahia,2153,0.02452,0
1176,Aramari,2902203,Bahia,4,5e-05,0
1177,Arataca,2902252,Bahia,130,0.00148,0
1178,Aratuípe,2902302,Bahia,15,0.00017,0
1179,Baianópolis,2902500,Bahia,80,0.00091,0
1180,Baixa Grande,2902609,Bahia,1665,0.01896,0
1181,Barra,2902708,Bahia,313,0.00356,0
1182,Barra da Estiva,2902807,Bahia,2517,0.02867,0
1183,Barra do Choça,2902906,Bahia,54,0.00062,0
1184,Barra do Mendes,2903003,Bahia,382,0.00435,0
1185,Barra do Rocha,2903102,Bahia,1415,0.01612,0
1186,Barreiras,2903201,Bahia,48401,0.55126,1
1187,Belmonte,2903409,Bahia,243,0.00277,0
1188,Belo Campo,2903508,Bahia,2399,0.02732,0
1189,Biritinga,2903607,Bahia,36,0.00041,0
1190,Boa Nova,2903706,Bahia,2,2e-05,0
1191,Bom Jesus da Lapa,2903904,Bahia,5972,0.06802,0
1192,Bom Jesus da Serra,2903953,Bahia,190,0.00216,0
1193,Boninal,2904001,Bahia,25,0.00028,0
1194,Bonito,2904050,Bahia,383,0.00436,0
1195,Boquira,2904100,Bahia,840,0.00957,0
1196,Botuporã,2904209,Bahia,3,3e-05,0
1197,Brejões,2904308,Bahia,7,8e-05,0
1198,Brejolândia,2904407,Bahia,130,0.00148,0
1199,Brotas de Macaúbas,2904506,Bahia,27,0.00031,0
1200,Brumado,2904605,Bahia,7670,0.08736,0
1201,Buerarema,2904704,Bahia,1262,0.01437,0
1202,Buritirama,2904753,Bahia,178,0.00203,0
1203,Caatiba,2904803,Bahia,18,0.00021,0
1204,Cachoeira,2904902,Bahia,739,0.00842,0
1205,Caculé,2905008,Bahia,640,0.00729,0
1206,Caém,2905107,Bahia,168,0.00191,0
1207,Caetanos,2905156,Bahia,1,1e-05,0
1208,Caetité,2905206,Bahia,6467,0.07366,0
1209,Cafarnaum,2905305,Bahia,60,0.00068,0
1210,Cairu,2905404,Bahia,403,0.00459,0
1211,Caldeirão Grande,2905503,Bahia,17,0.00019,0
1212,Camacan,2905602,Bahia,10041,0.11436,0
1213,Camaçari,2905701,Bahia,539,0.00614,0
1214,Camamu,2905800,Bahia,1773,0.02019,0
1215,Campo Alegre de Lourdes,2905909,Bahia,2,2e-05,0
1216,Campo Formoso,2906006,Bahia,37,0.00042,0
1217,Canarana,2906204,Bahia,258,0.00294,0
1218,Canavieiras,2906303,Bahia,263,0.003,0
1219,Candeal,2906402,Bahia,39,0.00044,0
1220,Candeias,2906501,Bahia,32,0.00036,0
1221,Candiba,2906600,Bahia,2,2e-05,0
1222,Cândido Sales,2906709,Bahia,537,0.00612,0
1223,Cansanção,2906808,Bahia,747,0.00851,0
1224,Canudos,2906824,Bahia,112,0.00128,0
1225,Capim Grosso,2906873,Bahia,14590,0.16617,0
1226,Caravelas,2906907,Bahia,17,0.00019,0
1227,Carinhanha,2907103,Bahia,1719,0.01958,0
1228,Casa Nova,2907202,Bahia,85,0.00097,0
1229,Castro Alves,2907301,Bahia,379,0.00432,0
1230,Catu,2907509,Bahia,157,0.00179,0
1231,Caturama,2907558,Bahia,2028,0.0231,0
1232,Central,2907608,Bahia,8,9e-05,0
1233,Chorrochó,2907707,Bahia,107,0.00122,0
1234,Cícero Dantas,2907806,Bahia,1277,0.01454,0
1235,Cipó,2907905,Bahia,588,0.0067,0
1236,Coaraci,2908002,Bahia,673,0.00767,0
1237,Cocos,2908101,Bahia,2066,0.02353,0
1238,Conceição da Feira,2908200,Bahia,9,0.0001,0
1239,Conceição do Almeida,2908309,Bahia,8,9e-05,0
1240,Conceição do Coité,2908408,Bahia,1723,0.01962,0
1241,Conceição do Jacuípe,2908507,Bahia,10,0.00011,0
1242,Conde,2908606,Bahia,9,0.0001,0
1243,Condeúba,2908705,Bahia,472,0.00538,0
1244,Contendas do Sincorá,2908804,Bahia,1,1e-05,0
1245,Coração de Maria,2908903,Bahia,10,0.00011,0
1246,Cordeiros,2909000,Bahia,2,2e-05,0
1247,Coribe,2909109,Bahia,39,0.00044,0
1248,Coronel João Sá,2909208,Bahia,12,0.00014,0
1249,Correntina,2909307,Bahia,217,0.00247,0
1250,Cotegipe,2909406,Bahia,9,0.0001,0
1251,Cristópolis,2909703,Bahia,987,0.01124,0
1252,Cruz das Almas,2909802,Bahia,9829,0.11195,0
1253,Dário Meira,2910008,Bahia,147,0.00167,0
1254,Dias d'Ávila,2910057,Bahia,3,3e-05,0
1255,Dom Basílio,2910107,Bahia,18,0.00021,0
1256,Entre Rios,2910503,Bahia,358,0.00408,0
1257,Esplanada,2910602,Bahia,1649,0.01878,0
1258,Euclides da Cunha,2910701,Bahia,983,0.0112,0
1259,Eunápolis,2910727,Bahia,14229,0.16206,0
1260,Fátima,2910750,Bahia,12,0.00014,0
1261,Feira de Santana,2910800,Bahia,96714,1.10152,1
1262,Filadélfia,2910859,Bahia,109,0.00124,0
1263,Firmino Alves,2910909,Bahia,115,0.00131,0
1264,Floresta Azul,2911006,Bahia,529,0.00603,0
1265,Formosa do Rio Preto,2911105,Bahia,171,0.00195,0
1266,Gandu,2911204,Bahia,7307,0.08322,0
1267,Gavião,2911253,Bahia,21,0.00024,0
1268,Governador Mangabeira,2911600,Bahia,429,0.00489,0
1269,Guajeru,2911659,Bahia,3,3e-05,0
1270,Guanambi,2911709,Bahia,9865,0.11236,0
1271,Guaratinga,2911808,Bahia,183,0.00208,0
1272,Iaçu,2911907,Bahia,239,0.00272,0
1273,Ibiassucê,2912004,Bahia,52,0.00059,0
1274,Ibicaraí,2912103,Bahia,116,0.00132,0
1275,Ibicuí,2912301,Bahia,12,0.00014,0
1276,Ibipitanga,2912509,Bahia,336,0.00383,0
1277,Ibirapitanga,2912707,Bahia,6,7e-05,0
1278,Ibirataia,2912905,Bahia,285,0.00325,0
1279,Ibitiara,2913002,Bahia,9,0.0001,0
1280,Ibotirama,2913200,Bahia,5048,0.05749,0
1281,Ichu,2913309,Bahia,34,0.00039,0
1282,Igaporã,2913408,Bahia,11,0.00013,0
1283,Igrapiúna,2913457,Bahia,2,2e-05,0
1284,Iguaí,2913507,Bahia,10,0.00011,0
1285,Ilhéus,2913606,Bahia,8141,0.09272,1
1286,Inhambupe,2913705,Bahia,577,0.00657,0
1287,Ipiaú,2913903,Bahia,3150,0.03588,0
1288,Ipirá,2914000,Bahia,1505,0.01714,0
1289,Ipupiara,2914109,Bahia,172,0.00196,0
1290,Iraquara,2914406,Bahia,274,0.00312,0
1291,Irará,2914505,Bahia,98,0.00112,0
1292,Irecê,2914604,Bahia,13483,0.15356,0
1293,Itabela,2914653,Bahia,1295,0.01475,0
1294,Itaberaba,2914703,Bahia,6560,0.07471,0
1295,Itabuna,2914802,Bahia,13257,0.15099,0
1296,Itacaré,2914901,Bahia,42,0.00048,0
1297,Itagimirim,2915304,Bahia,217,0.00247,0
1298,Itaju do Colônia,2915403,Bahia,2,2e-05,0
1299,Itajuípe,2915502,Bahia,35,0.0004,0
1300,Itamaraju,2915601,Bahia,2569,0.02926,0
1301,Itambé,2915809,Bahia,1718,0.01957,0
1302,Itaparica,2916104,Bahia,3382,0.03852,0
1303,Itapebi,2916302,Bahia,11,0.00013,0
1304,Itapetinga,2916401,Bahia,3493,0.03978,0
1305,Itapicuru,2916500,Bahia,12,0.00014,0
1306,Itaquara,2916708,Bahia,131,0.00149,0
1307,Itarantim,2916807,Bahia,69,0.00079,0
1308,Itatim,2916856,Bahia,91,0.00104,0
1309,Itiruçu,2916906,Bahia,19,0.00022,0
1310,Itiúba,2917003,Bahia,15,0.00017,0
1311,Itororó,2917102,Bahia,115,0.00131,0
1312,Ituaçu,2917201,Bahia,950,0.01082,0
1313,Ituberá,2917300,Bahia,327,0.00372,0
1314,Jacaraci,2917409,Bahia,37,0.00042,0
1315,Jacobina,2917508,Bahia,5190,0.05911,0
1316,Jaguaquara,2917607,Bahia,1943,0.02213,0
1317,Jaguarari,2917706,Bahia,54,0.00062,0
1318,Jequié,2918001,Bahia,15244,0.17362,0
1319,Jeremoabo,2918100,Bahia,561,0.00639,0
1320,Jiquiriçá,2918209,Bahia,4,5e-05,0
1321,Jitaúna,2918308,Bahia,128,0.00146,0
1322,João Dourado,2918357,Bahia,5,6e-05,0
1323,Juazeiro,2918407,Bahia,6319,0.07197,1
1324,Jussara,2918506,Bahia,3,3e-05,0
1325,Jussari,2918555,Bahia,9,0.0001,0
1326,Laje,2918803,Bahia,69,0.00079,0
1327,Lajedo do Tabocal,2919058,Bahia,8,9e-05,0
1328,Lapão,2919157,Bahia,9,0.0001,0
1329,Lençóis,2919306,Bahia,2,2e-05,0
1330,Licínio de Almeida,2919405,Bahia,1,1e-05,0
1331,Livramento de Nossa Senhora,2919504,Bahia,514,0.00585,0
1332,Luís Eduardo Magalhães,2919553,Bahia,13494,0.15369,0
1333,Macaúbas,2919801,Bahia,323,0.00368,0
1334,Macururé,2919900,Bahia,4,5e-05,0
1335,Maiquinique,2920007,Bahia,37,0.00042,0
1336,Mairi,2920106,Bahia,44,0.0005,0
1337,Malhada,2920205,Bahia,15,0.00017,0
1338,Malhada de Pedras,2920304,Bahia,5,6e-05,0
1339,Manoel Vitorino,2920403,Bahia,18,0.00021,0
1340,Maracás,2920502,Bahia,149,0.0017,0
1341,Marcionílio Souza,2920809,Bahia,103,0.00117,0
1342,Mata de São João,2921005,Bahia,5,6e-05,0
1343,Medeiros Neto,2921104,Bahia,752,0.00856,0
1344,Miguel Calmon,2921203,Bahia,94,0.00107,0
1345,Milagres,2921302,Bahia,10929,0.12448,0
1346,Monte Santo,2921500,Bahia,6,7e-05,0
1347,Morro do Chapéu,2921708,Bahia,2194,0.02499,0
1348,Mortugaba,2921807,Bahia,33,0.00038,0
1349,Mucugê,2921906,Bahia,101,0.00115,0
1350,Mulungu do Morro,2922052,Bahia,32,0.00036,0
1351,Mundo Novo,2922102,Bahia,29,0.00033,0
1352,Muritiba,2922300,Bahia,5,6e-05,0
1353,Mutuípe,2922409,Bahia,9,0.0001,0
1354,Nazaré,2922508,Bahia,104,0.00118,0
1355,Nilo Peçanha,2922607,Bahia,115,0.00131,0
1356,Nova Canaã,2922706,Bahia,3,3e-05,0
1357,Nova Fátima,2922730,Bahia,101,0.00115,0
1358,Nova Itarana,2922805,Bahia,7,8e-05,0
1359,Nova Soure,2922904,Bahia,247,0.00281,0
1360,Nova Viçosa,2923001,Bahia,168,0.00191,0
1361,Novo Horizonte,2923035,Bahia,17,0.00019,0
1362,Olindina,2923100,Bahia,371,0.00423,0
1363,Oliveira dos Brejinhos,2923209,Bahia,23,0.00026,0
1364,Ourolândia,2923357,Bahia,1,1e-05,0
1365,Palmas de Monte Alto,2923407,Bahia,84,0.00096,0
1366,Palmeiras,2923506,Bahia,6,7e-05,0
1367,Paramirim,2923605,Bahia,131,0.00149,0
1368,Paratinga,2923704,Bahia,15,0.00017,0
1369,Paripiranga,2923803,Bahia,82,0.00093,0
1370,Paulo Afonso,2924009,Bahia,6897,0.07855,0
1371,Piatã,2924306,Bahia,7,8e-05,0
1372,Pilão Arcado,2924405,Bahia,50,0.00057,0
1373,Pindaí,2924504,Bahia,286,0.00326,0
1374,Piripá,2924702,Bahia,37,0.00042,0
1375,Piritiba,2924801,Bahia,56,0.00064,0
1376,Planaltino,2924900,Bahia,12,0.00014,0
1377,Planalto,2925006,Bahia,1586,0.01806,0
1378,Poções,2925105,Bahia,6903,0.07862,0
1379,Pojuca,2925204,Bahia,6,7e-05,0
1380,Ponto Novo,2925253,Bahia,3,3e-05,0
1381,Porto Seguro,2925303,Bahia,3783,0.04309,1
1382,Potiraguá,2925402,Bahia,27,0.00031,0
1383,Prado,2925501,Bahia,6,7e-05,0
1384,Presidente Dutra,2925600,Bahia,43,0.00049,0
1385,Presidente Jânio Quadros,2925709,Bahia,2,2e-05,0
1386,Presidente Tancredo Neves,2925758,Bahia,4,5e-05,0
1387,Queimadas,2925808,Bahia,155,0.00177,0
1388,Remanso,2926004,Bahia,1005,0.01145,0
1389,Retirolândia,2926103,Bahia,25,0.00028,0
1390,Riachão das Neves,2926202,Bahia,122,0.00139,0
1391,Riachão do Jacuípe,2926301,Bahia,1288,0.01467,0
1392,Riacho de Santana,2926400,Bahia,106,0.00121,0
1393,Ribeira do Pombal,2926608,Bahia,1508,0.01718,0
1394,Rio de Contas,2926707,Bahia,1,1e-05,0
1395,Rio do Pires,2926905,Bahia,1,1e-05,0
1396,Rio Real,2927002,Bahia,3,3e-05,0
1397,Rodelas,2927101,Bahia,2,2e-05,0
1398,Ruy Barbosa,2927200,Bahia,14,0.00016,0
1399,Salvador,2927408,Bahia,117201,1.33486,1
1400,Santa Bárbara,2927507,Bahia,316,0.0036,0
1401,Santa Brígida,2927606,Bahia,4,5e-05,0
1402,Santa Cruz Cabrália,2927705,Bahia,1,1e-05,0
1403,Santa Cruz da Vitória,2927804,Bahia,23,0.00026,0
1404,Santa Inês,2927903,Bahia,83,0.00095,0
1405,Santaluz,2928000,Bahia,14,0.00016,0
1406,Santa Maria da Vitória,2928109,Bahia,2832,0.03225,0
1407,Santana,2928208,Bahia,1174,0.01337,0
1408,Santanópolis,2928307,Bahia,2,2e-05,0
1409,Santa Rita de Cássia,2928406,Bahia,65,0.00074,0
1410,Santa Terezinha,2928505,Bahia,7,8e-05,0
1411,Santo Amaro,2928604,Bahia,193,0.0022,0
1412,Santo Antônio de Jesus,2928703,Bahia,2098,0.0239,1
1413,Santo Estêvão,2928802,Bahia,477,0.00543,0
1414,São Desidério,2928901,Bahia,514,0.00585,0
1415,São Félix,2929008,Bahia,28,0.00032,0
1416,São Gabriel,2929255,Bahia,1,1e-05,0
1417,São José da Vitória,2929354,Bahia,4,5e-05,0
1418,São José do Jacuípe,2929370,Bahia,88,0.001,0
1419,São Sebastião do Passé,2929503,Bahia,132,0.0015,0
1420,Sapeaçu,2929602,Bahia,62,0.00071,0
1421,Saúde,2929800,Bahia,17,0.00019,0
1422,Seabra,2929909,Bahia,7276,0.08287,0
1423,Senhor do Bonfim,2930105,Bahia,5536,0.06305,0
1424,Serra do Ramalho,2930154,Bahia,207,0.00236,0
1425,Serra Dourada,2930303,Bahia,26,0.0003,0
1426,Serrinha,2930501,Bahia,1722,0.01961,0
1427,Simões Filho,2930709,Bahia,1,1e-05,0
1428,Sítio do Quinto,2930766,Bahia,2,2e-05,0
1429,Souto Soares,2930808,Bahia,26,0.0003,0
1430,Tabocas do Brejo Velho,2930907,Bahia,19,0.00022,0
1431,Tanhaçu,2931004,Bahia,969,0.01104,0
1432,Tanque Novo,2931053,Bahia,3,3e-05,0
1433,Tanquinho,2931103,Bahia,52,0.00059,0
1434,Taperoá,2931202,Bahia,86,0.00098,0
1435,Teixeira de Freitas,2931350,Bahia,7151,0.08145,0
1436,Teodoro Sampaio,2931400,Bahia,19,0.00022,0
1437,Teofilândia,2931509,Bahia,254,0.00289,0
1438,Tremedal,2931806,Bahia,443,0.00505,0
1439,Tucano,2931905,Bahia,40,0.00046,0
1440,Uauá,2932002,Bahia,7,8e-05,0
1441,Ubaitaba,2932200,Bahia,1255,0.01429,0
1442,Ubatã,2932309,Bahia,456,0.00519,0
1443,Uibaí,2932408,Bahia,53,0.0006,0
1444,Umburanas,2932457,Bahia,16,0.00018,0
1445,Urandi,2932606,Bahia,232,0.00264,0
1446,Utinga,2932804,Bahia,446,0.00508,0
1447,Valença,2932903,Bahia,1359,0.01548,0
1448,Valente,2933000,Bahia,55,0.00063,0
1449,Várzea da Roça,2933059,Bahia,3,3e-05,0
1450,Várzea do Poço,2933109,Bahia,39,0.00044,0
1451,Várzea Nova,2933158,Bahia,2,2e-05,0
1452,Vitória da Conquista,2933307,Bahia,29305,0.33377,0
1453,Wagner,2933406,Bahia,65,0.00074,0
1454,Wanderley,2933455,Bahia,3,3e-05,0
1455,Wenceslau Guimarães,2933505,Bahia,7,8e-05,0
1456,Xique-Xique,2933604,Bahia,901,0.01026,0
1457,Abadia dos Dourados,3100104,Minas Gerais,488,0.00556,0
1458,Abaeté,3100203,Minas Gerais,4832,0.05503,0
1459,Abre Campo,3100302,Minas Gerais,5171,0.05889,0
1460,Açucena,3100500,Minas Gerais,278,0.00317,0
1461,Água Boa,3100609,Minas Gerais,6179,0.07038,0
1462,Aguanil,3100807,Minas Gerais,12,0.00014,0
1463,Águas Formosas,3100906,Minas Gerais,4761,0.05423,0
1464,Aimorés,3101102,Minas Gerais,1930,0.02198,0
1465,Aiuruoca,3101201,Minas Gerais,3383,0.03853,0
1466,Alagoa,3101300,Minas Gerais,11,0.00013,0
1467,Além Paraíba,3101508,Minas Gerais,6098,0.06945,0
1468,Alfenas,3101607,Minas Gerais,19319,0.22003,1
1469,Alfredo Vasconcelos,3101631,Minas Gerais,527,0.006,0
1470,Almenara,3101706,Minas Gerais,10803,0.12304,0
1471,Alpercata,3101805,Minas Gerais,941,0.01072,0
1472,Alpinópolis,3101904,Minas Gerais,572,0.00651,0
1473,Alterosa,3102001,Minas Gerais,581,0.00662,0
1474,Alto Caparaó,3102050,Minas Gerais,97,0.0011,0
1475,Alto Rio Doce,3102100,Minas Gerais,618,0.00704,0
1476,Alvinópolis,3102308,Minas Gerais,291,0.00331,0
1477,Alvorada de Minas,3102407,Minas Gerais,767,0.00874,0
1478,Andradas,3102605,Minas Gerais,2984,0.03399,0
1479,Andrelândia,3102803,Minas Gerais,2501,0.02849,0
1480,Antônio Carlos,3102902,Minas Gerais,193,0.0022,0
1481,Antônio Dias,3103009,Minas Gerais,3,3e-05,0
1482,Antônio Prado de Minas,3103108,Minas Gerais,71,0.00081,0
1483,Araçaí,3103207,Minas Gerais,256,0.00292,0
1484,Aracitaba,3103306,Minas Gerais,25,0.00028,0
1485,Araçuaí,3103405,Minas Gerais,6755,0.07694,0
1486,Araguari,3103504,Minas Gerais,5909,0.0673,0
1487,Arantina,3103603,Minas Gerais,65,0.00074,0
1488,Araponga,3103702,Minas Gerais,43,0.00049,0
1489,Araporã,3103751,Minas Gerais,520,0.00592,0
